2025-11-20 12:14:20 | ENCABEZADO GUARDADO: IDPEDIDO=32 | FOLIO=TIJ-PED-20251120-0003 | RESP: {"ok":true,"msg":"OK","IdPedido":32,"Folio":"TIJ-PED-20251120-0003"}
2025-11-20 15:02:10 | ENCABEZADO GUARDADO: IDPEDIDO=33 | FOLIO=TIJ-PED-20251120-0004 | RESP: {"ok":true,"msg":"OK","IdPedido":33,"Folio":"TIJ-PED-20251120-0004"}
2025-11-20 15:54:38 | ENCABEZADO GUARDADO: IDPEDIDO=34 | FOLIO=TIJ-PED-20251120-0005 | RESP: {"ok":true,"msg":"OK","IdPedido":34,"Folio":"TIJ-PED-20251120-0005"}
2025-11-20 15:58:27 | ENCABEZADO GUARDADO: IDPEDIDO=35 | FOLIO=TIJ-PED-20251120-0006 | RESP: {"ok":true,"msg":"OK","IdPedido":35,"Folio":"TIJ-PED-20251120-0006"}
2025-11-25 08:01:14 | ENCABEZADO GUARDADO: IDPEDIDO=36 | FOLIO=TIJ-PED-20251125-0036 | RESP: {"ok":true,"msg":"OK","IdPedido":36,"Folio":"TIJ-PED-20251125-0036"}
2025-11-25 08:06:17 | ENCABEZADO GUARDADO: IDPEDIDO=37 | FOLIO=TIJ-PED-20251125-0002 | RESP: {"ok":true,"msg":"OK","IdPedido":37,"Folio":"TIJ-PED-20251125-0002"}
2025-12-02 10:52:36 | ENCABEZADO GUARDADO: IDPEDIDO=38 | FOLIO=TIJ-PED-20251202-0038 | RESP: {"ok":true,"msg":"OK","IdPedido":38,"Folio":"TIJ-PED-20251202-0038"}
2025-12-02 12:11:48 | ENCABEZADO GUARDADO: IDPEDIDO=39 | FOLIO=TIJ-PED-20251202-0002 | RESP: {"ok":true,"msg":"OK","IdPedido":39,"Folio":"TIJ-PED-20251202-0002"}
2025-12-02 14:12:02 | ENCABEZADO GUARDADO: IDPEDIDO=40 | FOLIO=TIJ-PED-20251202-0003 | RESP: {"ok":true,"msg":"OK","IdPedido":40,"Folio":"TIJ-PED-20251202-0003"}
2025-12-02 14:21:45 | ENCABEZADO GUARDADO: IDPEDIDO=41 | FOLIO=TIJ-PED-20251202-0004 | RESP: {"ok":true,"msg":"OK","IdPedido":41,"Folio":"TIJ-PED-20251202-0004"}
2025-12-09 08:00:44 | ENCABEZADO GUARDADO: IDPEDIDO=42 | FOLIO=TIJ-PED-20251209-0042 | RESP: {"ok":true,"msg":"OK","IdPedido":42,"Folio":"TIJ-PED-20251209-0042"}
2025-12-09 08:01:14 | ENCABEZADO GUARDADO: IDPEDIDO=43 | FOLIO=TIJ-PED-20251209-0002 | RESP: {"ok":true,"msg":"OK","IdPedido":43,"Folio":"TIJ-PED-20251209-0002"}
2025-12-09 12:14:42 | ENCABEZADO GUARDADO: IDPEDIDO=44 | FOLIO=TIJ-PED-20251209-0003 | RESP: {"ok":true,"msg":"OK","IdPedido":44,"Folio":"TIJ-PED-20251209-0003"}
2025-12-09 12:15:16 | ENCABEZADO GUARDADO: IDPEDIDO=45 | FOLIO=TIJ-PED-20251209-0004 | RESP: {"ok":true,"msg":"OK","IdPedido":45,"Folio":"TIJ-PED-20251209-0004"}
2025-12-13 08:12:49 | ENCABEZADO GUARDADO: IDPEDIDO=46 | FOLIO=HER-PED-20251213-0046 | RESP: {"ok":true,"msg":"OK","IdPedido":46,"Folio":"HER-PED-20251213-0046"}
